# Task	= SimpleRun
# numericalMethod	= RK4
# debug	= 0
# intelegentStop	= 1
# Variable	= Frequency
# numberOfPeriods	= 10000
# maxNumberOfPeriods	= 25000
# numberOfExtremums	= 1000
# skipPeriods	= 25000
# printStep	= 10
# printLastNperiods	= 10
# timeStep	= 0.001
# outputPrecision	= 15
# acceptableDiff	= 1e-05
# alpha	= 0.1
# amplitude	= 0.1
# Hz	= 0
# frequency	= 0.1
# magnetization	= 338
# viscosity	= 0.006
# varMin	= 0.1
# varMax	= 1.55
# varStep	= 0.05
# smallTheta	= 0.005
# smallPhi	= 0.005
# bigTheta	= 0.0051
# bigPhi	= 3.14
# thermalBath	= 0
# linearPolarization	= 0
# hySign	= 1
===== Skipping 25000 periods =====
time	smallTheta	bigTheta	smallPhi	bigPhi	energy	energy/time	Frequency
1.577385565628294e+06	1.113849455426087e-01	6.273377949587260e-04	1.577385392519243e+05	8.384038678655267e+04	1.950447004265379e+01	1.236109740192434e-05	1.000000000000000e-01
1.578013255840271e+06	1.113873906499414e-01	6.292228238583528e-04	1.578013082554107e+05	8.390315986388383e+04	1.951222898250849e+01	1.236109740217083e-05	1.000000000000000e-01
1.578640946052248e+06	1.113899489729787e-01	6.309518263868452e-04	1.578640772603559e+05	8.396593309049541e+04	1.951998792236235e+01	1.236109740241183e-05	1.000000000000000e-01
1.579268636264225e+06	1.113926099962271e-01	6.325198048016379e-04	1.579268462668186e+05	8.402870645123164e+04	1.952774686221453e+01	1.236109740263647e-05	1.000000000000000e-01
1.579896326476201e+06	1.113953628463572e-01	6.339223310418677e-04	1.579896152748513e+05	8.409147993089051e+04	1.953550580206666e+01	1.236109740287187e-05	1.000000000000000e-01
1.580524016688178e+06	1.113981962712157e-01	6.351555454292992e-04	1.580523842845002e+05	8.415425351424304e+04	1.954326474191755e+01	1.236109740308824e-05	1.000000000000000e-01
1.581151706900155e+06	1.114010988327812e-01	6.362161583160213e-04	1.581151532958049e+05	8.421702718605021e+04	1.955102368176771e+01	1.236109740331701e-05	1.000000000000000e-01
1.581779397112132e+06	1.114040587754052e-01	6.371014502705686e-04	1.581779223087982e+05	8.427980093107892e+04	1.955878262161768e+01	1.236109740354635e-05	1.000000000000000e-01
1.582407087324109e+06	1.114070642392661e-01	6.378092719858920e-04	1.582406913235062e+05	8.434257473411549e+04	1.956654156146699e+01	1.236109740378017e-05	1.000000000000000e-01
1.583034777536086e+06	1.114101031805553e-01	6.383380417200643e-04	1.583034603399478e+05	8.440534857997741e+04	1.957430050131535e+01	1.236109740400538e-05	1.000000000000000e-01
1.583662467748063e+06	1.114131634564217e-01	6.386867450714097e-04	1.583662293581357e+05	8.446812245352136e+04	1.958205944116285e+01	1.236109740423110e-05	1.000000000000000e-01
1.584290157960040e+06	1.114162329300040e-01	6.388549328965428e-04	1.584289983780750e+05	8.453089633965412e+04	1.958981838101068e+01	1.236109740446089e-05	1.000000000000000e-01
1.584917848172016e+06	1.114192994548462e-01	6.388427174539535e-04	1.584917673997642e+05	8.459367022334083e+04	1.959757732085791e+01	1.236109740469142e-05	1.000000000000000e-01
1.585545538383993e+06	1.114223509245720e-01	6.386507715077994e-04	1.585545364231948e+05	8.465644408961509e+04	1.960533626070503e+01	1.236109740493158e-05	1.000000000000000e-01
1.586173228595970e+06	1.114253753622749e-01	6.382803230932202e-04	1.586173054483511e+05	8.471921792358237e+04	1.961309520055193e+01	1.236109740517756e-05	1.000000000000000e-01
1.586800918807947e+06	1.114283609362738e-01	6.377331525967216e-04	1.586800744752116e+05	8.478199171043438e+04	1.962085414039796e+01	1.236109740540679e-05	1.000000000000000e-01
1.587428609019924e+06	1.114312960052576e-01	6.370115886652381e-04	1.587428435037471e+05	8.484476543545544e+04	1.962861308024348e+01	1.236109740564173e-05	1.000000000000000e-01
1.588056299231901e+06	1.114341691537008e-01	6.361185036056889e-04	1.588056125339226e+05	8.490753908403321e+04	1.963637202008862e+01	1.236109740586678e-05	1.000000000000000e-01
1.588683989443878e+06	1.114369693119834e-01	6.350573065622054e-04	1.588683815656965e+05	8.497031264167257e+04	1.964413095993333e+01	1.236109740609244e-05	1.000000000000000e-01
1.589311679655855e+06	1.114396856815055e-01	6.338319392601405e-04	1.589311505990211e+05	8.503308609400885e+04	1.965188989977819e+01	1.236109740631810e-05	1.000000000000000e-01
